"model_name","color","image_front_filename","image_back_filename","image_side_filename","image_front_url","image_back_url","image_side_url","status","notes"
"iPhone 17e","Black","iphone-17e-black-front.webp","iphone-17e-black-back.webp","iphone-17e-black-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17e","White","iphone-17e-white-front.webp","iphone-17e-white-back.webp","iphone-17e-white-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17e","Soft Pink","iphone-17e-soft-pink-front.webp","iphone-17e-soft-pink-back.webp","iphone-17e-soft-pink-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17 Pro Max","Silver","iphone-17-pro-max-silver-front.webp","iphone-17-pro-max-silver-back.webp","iphone-17-pro-max-silver-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17 Pro Max","Cosmic Orange","iphone-17-pro-max-cosmic-orange-front.webp","iphone-17-pro-max-cosmic-orange-back.webp","iphone-17-pro-max-cosmic-orange-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17 Pro Max","Deep Blue","iphone-17-pro-max-deep-blue-front.webp","iphone-17-pro-max-deep-blue-back.webp","iphone-17-pro-max-deep-blue-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17 Pro","Silver","iphone-17-pro-silver-front.webp","iphone-17-pro-silver-back.webp","iphone-17-pro-silver-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17 Pro","Cosmic Orange","iphone-17-pro-cosmic-orange-front.webp","iphone-17-pro-cosmic-orange-back.webp","iphone-17-pro-cosmic-orange-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17 Pro","Deep Blue","iphone-17-pro-deep-blue-front.webp","iphone-17-pro-deep-blue-back.webp","iphone-17-pro-deep-blue-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone Air","Space Black","iphone-air-space-black-front.webp","iphone-air-space-black-back.webp","iphone-air-space-black-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone Air","Cloud White","iphone-air-cloud-white-front.webp","iphone-air-cloud-white-back.webp","iphone-air-cloud-white-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone Air","Light Gold","iphone-air-light-gold-front.webp","iphone-air-light-gold-back.webp","iphone-air-light-gold-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone Air","Sky Blue","iphone-air-sky-blue-front.webp","iphone-air-sky-blue-back.webp","iphone-air-sky-blue-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17","Black","iphone-17-black-front.webp","iphone-17-black-back.webp","iphone-17-black-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17","White","iphone-17-white-front.webp","iphone-17-white-back.webp","iphone-17-white-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17","Mist Blue","iphone-17-mist-blue-front.webp","iphone-17-mist-blue-back.webp","iphone-17-mist-blue-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17","Sage","iphone-17-sage-front.webp","iphone-17-sage-back.webp","iphone-17-sage-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17","Lavender","iphone-17-lavender-front.webp","iphone-17-lavender-back.webp","iphone-17-lavender-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16e","Black","iphone-16e-black-front.webp","iphone-16e-black-back.webp","iphone-16e-black-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16e","White","iphone-16e-white-front.webp","iphone-16e-white-back.webp","iphone-16e-white-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16 Pro Max","Black Titanium","iphone-16-pro-max-black-titanium-front.webp","iphone-16-pro-max-black-titanium-back.webp","iphone-16-pro-max-black-titanium-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16 Pro Max","White Titanium","iphone-16-pro-max-white-titanium-front.webp","iphone-16-pro-max-white-titanium-back.webp","iphone-16-pro-max-white-titanium-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
